,user_vote_without_prediction
0,Domestic Dog
1,Domestic Dog
2,Domestic Cat
3,Domestic Cat
4,Wildlife
5,Domestic Cat
6,Domestic Dog
7,Wildlife
8,Domestic Cat
9,Domestic Dog
10,Wildlife
11,Domestic Cat
12,Domestic Dog
13,Domestic Cat
14,Wildlife
15,Wildlife
16,Domestic Cat
17,Domestic Cat
18,Domestic Dog
19,Domestic Dog
20,Wildlife
21,Wildlife
22,Domestic Cat
23,Wildlife
24,Domestic Cat
25,Wildlife
26,Wildlife
27,Wildlife
28,Wildlife
29,Wildlife
30,Wildlife
31,Wildlife
32,Wildlife
33,Domestic Dog
34,Domestic Cat
35,Domestic Dog
36,Domestic Dog
37,Domestic Dog
38,Domestic Dog
39,Domestic Dog
40,Domestic Dog
41,Domestic Dog
42,Domestic Dog
43,Domestic Dog
44,Domestic Dog
45,Domestic Cat
46,Domestic Dog
47,Domestic Dog
48,Domestic Dog
49,Wildlife
50,Wildlife
51,Domestic Dog
52,Wildlife
53,Domestic Dog
54,Domestic Dog
55,Domestic Dog
56,Domestic Cat
57,Domestic Cat
58,Domestic Cat
59,Domestic Cat
60,Wildlife
61,Wildlife
62,Domestic Cat
63,Wildlife
64,Domestic Dog
65,Domestic Dog
66,Wildlife
67,Wildlife
68,Wildlife
69,Wildlife
70,Domestic Cat
71,Domestic Cat
72,Domestic Cat
73,Domestic Cat
74,Wildlife
75,Domestic Dog
76,Domestic Cat
77,Domestic Cat
78,Wildlife
79,Wildlife
80,Domestic Dog
81,Domestic Dog
82,Domestic Cat
83,Domestic Dog
84,Wildlife
85,Domestic Dog
86,Wildlife
87,Domestic Cat
88,Domestic Cat
89,Domestic Dog
90,Domestic Dog
91,Domestic Dog
92,Domestic Dog
93,Domestic Cat
94,Domestic Cat
95,Wildlife
96,Domestic Cat
97,Wildlife
98,Domestic Cat
99,Domestic Cat
100,Wildlife
101,Wildlife
102,Domestic Cat
103,Wildlife
104,Wildlife
105,Domestic Dog
106,Domestic Dog
107,Domestic Cat
108,Wildlife
109,Wildlife
110,Domestic Cat
111,Domestic Cat
112,Domestic Cat
113,Wildlife
114,Wildlife
115,Domestic Cat
116,Domestic Dog
117,Domestic Dog
118,Wildlife
119,Wildlife
120,Wildlife
121,Domestic Dog
122,Domestic Dog
123,Domestic Cat
124,Domestic Cat
125,Wildlife
126,Domestic Dog
127,Domestic Dog
128,Wildlife
129,Wildlife
130,Wildlife
131,Domestic Cat
132,Domestic Cat
133,Wildlife
134,Wildlife
135,Domestic Dog
136,Domestic Dog
137,Domestic Cat
138,Domestic Dog
139,Wildlife
